date,station_id,station_name,latitude,longitude,state,city,PM2.5,PM10
2026-07-24,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,80.72,136.91
2026-07-24,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,85.75,158.37
2026-07-25,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,192.67,366.44
2026-07-25,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,64.23,106.6
2026-07-25,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,103.76,150.87
2026-07-25,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,63.11,104.99
2026-07-25,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,11.65,23.02
2026-07-25,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,50.61,88.87
2026-07-25,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,132.87,237.47
2026-07-25,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,127.58,198.03
2026-07-25,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,115.47,183.08
2026-07-25,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,93.97,136.42
2026-07-26,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,173.69,285.77
2026-07-26,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,50.85,90.47
2026-07-26,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,71.04,135.41
2026-07-26,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,31.32,60.14
2026-07-26,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,28.54,54.84
2026-07-26,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,65.4,119.94
2026-07-26,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,131.05,210.82
2026-07-26,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,174.64,299.28
2026-07-26,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,84.69,147.31
2026-07-26,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,97.42,184.92
2026-07-27,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,164.41,240.33
2026-07-27,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,79.92,143.27
2026-07-27,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,89.08,164.61
2026-07-27,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,17.66,31.94
2026-07-27,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,21.6,39.95
2026-07-27,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,57.86,89.71
2026-07-27,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,128.53,189.1
2026-07-27,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,135.18,250.66
2026-07-27,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,87.7,130.54
2026-07-27,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,111.03,181.58
2026-07-28,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,199.79,388.92
2026-07-28,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,53.84,88.29
2026-07-28,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,95.99,149.25
2026-07-28,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,22.66,41.3
2026-07-28,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,5.32,9.18
2026-07-28,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,71.03,131.13
2026-07-28,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,142.82,231.47
2026-07-28,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,153.38,294.65
2026-07-28,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,100.4,165.74
2026-07-28,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,77.54,141.25
2026-07-29,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,153.88,292.94
2026-07-29,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,59.82,88.66
2026-07-29,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,95.5,172.41
2026-07-29,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,55.54,85.19
2026-07-29,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,22.93,34.12
2026-07-29,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,45.92,81.39
2026-07-29,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,137.16,209.65
2026-07-29,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,150.21,290.38
2026-07-29,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,62.21,100.87
2026-07-29,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,90.84,162.78
2026-07-30,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,170.79,259.74
2026-07-30,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,79.21,152.37
2026-07-30,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,86.94,123.88
2026-07-30,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,56.36,90.24
2026-07-30,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,56.01,97.69
2026-07-30,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,36.39,57.4
2026-07-30,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,156.38,299.4
2026-07-30,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,129.48,222.25
2026-07-30,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,56.0,81.19
2026-07-30,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,93.98,178.55
2026-07-31,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,167.81,259.68
2026-07-31,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,74.31,120.57
2026-07-31,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,90.86,178.14
2026-07-31,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,36.87,53.31
2026-07-31,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,37.17,62.64
2026-07-31,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,37.79,53.93
2026-07-31,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,138.9,267.05
2026-07-31,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,147.05,231.29
2026-07-31,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,86.49,159.67
2026-07-31,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,94.39,168.57
2026-08-01,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,189.27,314.53
2026-08-01,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,74.02,112.69
2026-08-01,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,69.85,132.74
2026-08-01,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,42.71,69.0
2026-08-01,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,36.15,54.59
2026-08-01,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,68.3,108.2
2026-08-01,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,125.03,232.9
2026-08-01,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,151.83,278.66
2026-08-01,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,75.22,134.66
2026-08-01,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,102.09,203.24
2026-08-02,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,178.65,349.62
2026-08-02,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,80.86,133.03
2026-08-02,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,93.84,135.5
2026-08-02,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,39.3,59.36
2026-08-02,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,37.65,57.41
2026-08-02,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,65.17,91.28
2026-08-02,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,131.54,210.34
2026-08-02,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,167.44,285.48
2026-08-02,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,103.86,204.84
2026-08-02,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,112.91,179.75
2026-08-03,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,166.03,245.13
2026-08-03,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,80.42,148.06
2026-08-03,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,84.69,154.65
2026-08-03,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,34.32,57.86
2026-08-03,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,46.32,77.8
2026-08-03,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,39.03,69.63
2026-08-03,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,147.6,270.27
2026-08-03,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,169.55,249.72
2026-08-03,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,69.6,105.09
2026-08-03,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,88.73,135.82
2026-08-04,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,191.89,374.74
2026-08-04,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,87.92,156.4
2026-08-04,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,117.22,223.73
2026-08-04,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,43.91,77.62
2026-08-04,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,31.07,54.46
2026-08-04,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,34.93,59.5
2026-08-04,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,139.91,258.96
2026-08-04,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,148.41,290.52
2026-08-04,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,95.09,137.77
2026-08-04,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,116.73,176.39
2026-08-05,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,165.75,252.59
2026-08-05,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,84.58,151.19
2026-08-05,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,71.84,116.61
2026-08-05,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,38.91,65.49
2026-08-05,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,55.31,104.72
2026-08-05,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,48.21,89.04
2026-08-05,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,163.95,230.2
2026-08-05,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,164.26,252.72
2026-08-05,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,80.19,128.95
2026-08-05,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,85.09,169.07
2026-08-06,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,151.41,294.94
2026-08-06,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,84.79,148.68
2026-08-06,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,96.32,163.05
2026-08-06,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,44.75,64.1
2026-08-06,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,47.9,67.54
2026-08-06,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,53.02,88.52
2026-08-06,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,126.88,218.84
2026-08-06,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,147.8,289.93
2026-08-06,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,80.0,157.34
2026-08-06,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,88.59,132.23
2026-08-07,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,210.68,323.08
2026-08-07,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,54.12,102.51
2026-08-07,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,87.15,139.31
2026-08-07,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,51.99,85.65
2026-08-07,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,61.95,104.95
2026-08-07,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,58.73,98.45
2026-08-07,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,153.96,266.58
2026-08-07,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,139.54,274.5
2026-08-07,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,73.57,118.41
2026-08-07,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,78.0,126.83
2026-08-08,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,185.14,284.86
2026-08-08,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,82.32,126.07
2026-08-08,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,98.54,177.53
2026-08-08,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,39.08,62.81
2026-08-08,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,5.0,8.68
2026-08-08,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,52.24,81.71
2026-08-08,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,155.75,269.71
2026-08-08,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,160.92,264.09
2026-08-08,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,96.08,148.46
2026-08-08,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,98.81,193.28
2026-08-09,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,183.4,257.91
2026-08-09,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,65.79,103.48
2026-08-09,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,81.34,123.09
2026-08-09,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,22.97,38.94
2026-08-09,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,26.25,45.77
2026-08-09,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,74.03,120.63
2026-08-09,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,131.11,219.51
2026-08-09,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,132.22,231.79
2026-08-09,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,79.67,118.2
2026-08-09,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,91.11,166.62
2026-08-10,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,200.17,385.95
2026-08-10,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,76.94,124.97
2026-08-10,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,68.27,128.68
2026-08-10,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,55.72,88.9
2026-08-10,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,59.75,97.11
2026-08-10,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,53.92,81.34
2026-08-10,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,166.85,296.03
2026-08-10,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,143.63,217.95
2026-08-10,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,104.16,204.68
2026-08-10,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,112.71,177.26
2026-08-11,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,162.21,267.92
2026-08-11,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,74.76,133.37
2026-08-11,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,111.98,157.9
2026-08-11,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,37.25,65.39
2026-08-11,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,53.96,78.58
2026-08-11,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,67.98,119.2
2026-08-11,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,123.6,200.87
2026-08-11,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,149.14,279.96
2026-08-11,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,100.36,191.6
2026-08-11,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,96.64,173.42
2026-08-12,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,145.26,221.81
2026-08-12,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,79.17,146.08
2026-08-12,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,76.77,111.19
2026-08-12,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,66.22,128.78
2026-08-12,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,32.72,65.12
2026-08-12,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,53.26,91.96
2026-08-12,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,159.95,236.72
2026-08-12,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,122.29,193.1
2026-08-12,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,82.55,130.68
2026-08-12,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,92.51,174.12
2026-08-13,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,187.63,285.09
2026-08-13,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,94.72,145.58
2026-08-13,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,87.57,161.91
2026-08-13,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,65.73,126.17
2026-08-13,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,17.34,34.36
2026-08-13,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,23.77,43.57
2026-08-13,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,148.46,216.08
2026-08-13,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,154.23,237.55
2026-08-13,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,82.39,125.33
2026-08-13,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,86.57,155.08
2026-08-14,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,189.98,293.28
2026-08-14,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,74.41,113.84
2026-08-14,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,97.43,163.35
2026-08-14,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,15.83,24.63
2026-08-14,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,49.47,72.37
2026-08-14,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,49.93,82.9
2026-08-14,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,146.59,237.94
2026-08-14,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,143.2,205.77
2026-08-14,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,64.88,115.83
2026-08-14,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,99.31,141.47
2026-08-15,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,171.97,338.85
2026-08-15,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,64.28,105.16
2026-08-15,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,81.64,154.4
2026-08-15,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,63.11,100.67
2026-08-15,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,5.0,9.93
2026-08-15,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,31.45,46.12
2026-08-15,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,163.37,278.09
2026-08-15,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,131.09,204.74
2026-08-15,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,89.83,179.29
2026-08-15,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,84.84,169.48
2026-08-16,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,178.51,338.19
2026-08-16,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,77.88,109.3
2026-08-16,WB001,Kolkata_Victoria,22.54,88.34,West Bengal,Kolkata,89.8,157.26
2026-08-16,TN001,Chennai_Alandur,13.0,80.2,Tamil Nadu,Chennai,53.22,87.69
2026-08-16,KA001,Bengaluru_Silk_Board,12.92,77.62,Karnataka,Bengaluru,44.49,85.93
2026-08-16,TG001,Hyderabad_Sanathnagar,17.45,78.43,Telangana,Hyderabad,54.97,107.26
2026-08-16,BR001,Patna_Sanjay_Gandhi,25.6,85.1,Bihar,Patna,136.95,192.07
2026-08-16,UP001,Lucknow_Lalbagh,26.85,80.94,Uttar Pradesh,Lucknow,154.16,216.5
2026-08-16,RJ001,Jaipur_Adarsh_Nagar,26.9,75.82,Rajasthan,Jaipur,89.11,165.51
2026-08-16,GJ001,Ahmedabad_Maninagar,23.0,72.61,Gujarat,Ahmedabad,94.35,146.54
2026-08-17,DL001,Delhi_RK_Puram,28.56,77.18,Delhi,Delhi,181.56,326.3
2026-08-17,MH001,Mumbai_Bandra,19.05,72.84,Maharashtra,Mumbai,61.89,95.55
